ì˙ït,ójì˙,îNåé,îN,åé,ì˙,ãxì˙,5ÇÃÇ¬Ç≠ì˙,0ÇÃÇ¬Ç≠ì˙,5Ç©0ÇÃÇ¬Ç≠ì˙
2018/1/1,åé,201801,2018,1,1,1,0,0,0
2018/1/2,âŒ,201801,2018,1,2,0,0,0,0
2018/1/3,êÖ,201801,2018,1,3,0,0,0,0
2018/1/4,ñÿ,201801,2018,1,4,0,0,0,0
2018/1/5,ã‡,201801,2018,1,5,0,1,0,1
2018/1/6,ìy,201801,2018,1,6,1,0,0,0
2018/1/7,ì˙,201801,2018,1,7,1,0,0,0
2018/1/8,åé,201801,2018,1,8,1,0,0,0
2018/1/9,âŒ,201801,2018,1,9,0,0,0,0
2018/1/10,êÖ,201801,2018,1,10,0,0,1,1
2018/1/11,ñÿ,201801,2018,1,11,0,0,0,0
2018/1/12,ã‡,201801,2018,1,12,0,0,0,0
2018/1/13,ìy,201801,2018,1,13,1,0,0,0
2018/1/14,ì˙,201801,2018,1,14,1,0,0,0
2018/1/15,åé,201801,2018,1,15,0,1,0,1
2018/1/16,âŒ,201801,2018,1,16,0,0,0,0
2018/1/17,êÖ,201801,2018,1,17,0,0,0,0
2018/1/18,ñÿ,201801,2018,1,18,0,0,0,0
2018/1/19,ã‡,201801,2018,1,19,0,0,0,0
2018/1/20,ìy,201801,2018,1,20,1,0,1,1
2018/1/21,ì˙,201801,2018,1,21,1,0,0,0
2018/1/22,åé,201801,2018,1,22,0,0,0,0
2018/1/23,âŒ,201801,2018,1,23,0,0,0,0
2018/1/24,êÖ,201801,2018,1,24,0,0,0,0
2018/1/25,ñÿ,201801,2018,1,25,0,1,0,1
2018/1/26,ã‡,201801,2018,1,26,0,0,0,0
2018/1/27,ìy,201801,2018,1,27,1,0,0,0
2018/1/28,ì˙,201801,2018,1,28,1,0,0,0
2018/1/29,åé,201801,2018,1,29,0,0,0,0
2018/1/30,âŒ,201801,2018,1,30,0,0,1,1
2018/1/31,êÖ,201801,2018,1,31,0,0,0,0
2018/2/1,ñÿ,201802,2018,2,1,0,0,0,0
2018/2/2,ã‡,201802,2018,2,2,0,0,0,0
2018/2/3,ìy,201802,2018,2,3,1,0,0,0
2018/2/4,ì˙,201802,2018,2,4,1,0,0,0
2018/2/5,åé,201802,2018,2,5,0,1,0,1
2018/2/6,âŒ,201802,2018,2,6,0,0,0,0
2018/2/7,êÖ,201802,2018,2,7,0,0,0,0
2018/2/8,ñÿ,201802,2018,2,8,0,0,0,0
2018/2/9,ã‡,201802,2018,2,9,0,0,0,0
2018/2/10,ìy,201802,2018,2,10,1,0,1,1
2018/2/11,ì˙,201802,2018,2,11,1,0,0,0
2018/2/12,åé,201802,2018,2,12,1,0,0,0
2018/2/13,âŒ,201802,2018,2,13,0,0,0,0
2018/2/14,êÖ,201802,2018,2,14,0,0,0,0
2018/2/15,ñÿ,201802,2018,2,15,0,1,0,1
2018/2/16,ã‡,201802,2018,2,16,0,0,0,0
2018/2/17,ìy,201802,2018,2,17,1,0,0,0
2018/2/18,ì˙,201802,2018,2,18,1,0,0,0
2018/2/19,åé,201802,2018,2,19,0,0,0,0
2018/2/20,âŒ,201802,2018,2,20,0,0,1,1
2018/2/21,êÖ,201802,2018,2,21,0,0,0,0
2018/2/22,ñÿ,201802,2018,2,22,0,0,0,0
2018/2/23,ã‡,201802,2018,2,23,0,0,0,0
2018/2/24,ìy,201802,2018,2,24,1,0,0,0
2018/2/25,ì˙,201802,2018,2,25,1,1,0,1
2018/2/26,åé,201802,2018,2,26,0,0,0,0
2018/2/27,âŒ,201802,2018,2,27,0,0,0,0
2018/2/28,êÖ,201802,2018,2,28,0,0,0,0
2018/3/1,ñÿ,201803,2018,3,1,0,0,0,0
2018/3/2,ã‡,201803,2018,3,2,0,0,0,0
2018/3/3,ìy,201803,2018,3,3,1,0,0,0
2018/3/4,ì˙,201803,2018,3,4,1,0,0,0
2018/3/5,åé,201803,2018,3,5,0,1,0,1
2018/3/6,âŒ,201803,2018,3,6,0,0,0,0
2018/3/7,êÖ,201803,2018,3,7,0,0,0,0
2018/3/8,ñÿ,201803,2018,3,8,0,0,0,0
2018/3/9,ã‡,201803,2018,3,9,0,0,0,0
2018/3/10,ìy,201803,2018,3,10,1,0,1,1
2018/3/11,ì˙,201803,2018,3,11,1,0,0,0
2018/3/12,åé,201803,2018,3,12,0,0,0,0
2018/3/13,âŒ,201803,2018,3,13,0,0,0,0
2018/3/14,êÖ,201803,2018,3,14,0,0,0,0
2018/3/15,ñÿ,201803,2018,3,15,0,1,0,1
2018/3/16,ã‡,201803,2018,3,16,0,0,0,0
2018/3/17,ìy,201803,2018,3,17,1,0,0,0
2018/3/18,ì˙,201803,2018,3,18,1,0,0,0
2018/3/19,åé,201803,2018,3,19,0,0,0,0
2018/3/20,âŒ,201803,2018,3,20,0,0,1,1
2018/3/21,êÖ,201803,2018,3,21,1,0,0,0
2018/3/22,ñÿ,201803,2018,3,22,0,0,0,0
2018/3/23,ã‡,201803,2018,3,23,0,0,0,0
2018/3/24,ìy,201803,2018,3,24,1,0,0,0
2018/3/25,ì˙,201803,2018,3,25,1,1,0,1
2018/3/26,åé,201803,2018,3,26,0,0,0,0
2018/3/27,âŒ,201803,2018,3,27,0,0,0,0
2018/3/28,êÖ,201803,2018,3,28,0,0,0,0
2018/3/29,ñÿ,201803,2018,3,29,0,0,0,0
2018/3/30,ã‡,201803,2018,3,30,0,0,1,1
2018/3/31,ìy,201803,2018,3,31,1,0,0,0
2018/4/1,ì˙,201804,2018,4,1,1,0,0,0
2018/4/2,åé,201804,2018,4,2,0,0,0,0
2018/4/3,âŒ,201804,2018,4,3,0,0,0,0
2018/4/4,êÖ,201804,2018,4,4,0,0,0,0
2018/4/5,ñÿ,201804,2018,4,5,0,1,0,1
2018/4/6,ã‡,201804,2018,4,6,0,0,0,0
2018/4/7,ìy,201804,2018,4,7,1,0,0,0
2018/4/8,ì˙,201804,2018,4,8,1,0,0,0
2018/4/9,åé,201804,2018,4,9,0,0,0,0
2018/4/10,âŒ,201804,2018,4,10,0,0,1,1
2018/4/11,êÖ,201804,2018,4,11,0,0,0,0
2018/4/12,ñÿ,201804,2018,4,12,0,0,0,0
2018/4/13,ã‡,201804,2018,4,13,0,0,0,0
2018/4/14,ìy,201804,2018,4,14,1,0,0,0
2018/4/15,ì˙,201804,2018,4,15,1,1,0,1
2018/4/16,åé,201804,2018,4,16,0,0,0,0
2018/4/17,âŒ,201804,2018,4,17,0,0,0,0
2018/4/18,êÖ,201804,2018,4,18,0,0,0,0
2018/4/19,ñÿ,201804,2018,4,19,0,0,0,0
2018/4/20,ã‡,201804,2018,4,20,0,0,1,1
2018/4/21,ìy,201804,2018,4,21,1,0,0,0
2018/4/22,ì˙,201804,2018,4,22,1,0,0,0
2018/4/23,åé,201804,2018,4,23,0,0,0,0
2018/4/24,âŒ,201804,2018,4,24,0,0,0,0
2018/4/25,êÖ,201804,2018,4,25,0,1,0,1
2018/4/26,ñÿ,201804,2018,4,26,0,0,0,0
2018/4/27,ã‡,201804,2018,4,27,0,0,0,0
2018/4/28,ìy,201804,2018,4,28,1,0,0,0
2018/4/29,ì˙,201804,2018,4,29,1,0,0,0
2018/4/30,åé,201804,2018,4,30,1,0,1,1
2018/5/1,âŒ,201805,2018,5,1,0,0,0,0
2018/5/2,êÖ,201805,2018,5,2,0,0,0,0
2018/5/3,ñÿ,201805,2018,5,3,1,0,0,0
2018/5/4,ã‡,201805,2018,5,4,1,0,0,0
2018/5/5,ìy,201805,2018,5,5,1,1,0,1
2018/5/6,ì˙,201805,2018,5,6,1,0,0,0
2018/5/7,åé,201805,2018,5,7,0,0,0,0
2018/5/8,âŒ,201805,2018,5,8,0,0,0,0
2018/5/9,êÖ,201805,2018,5,9,0,0,0,0
2018/5/10,ñÿ,201805,2018,5,10,0,0,1,1
2018/5/11,ã‡,201805,2018,5,11,0,0,0,0
2018/5/12,ìy,201805,2018,5,12,1,0,0,0
2018/5/13,ì˙,201805,2018,5,13,1,0,0,0
2018/5/14,åé,201805,2018,5,14,0,0,0,0
2018/5/15,âŒ,201805,2018,5,15,0,1,0,1
2018/5/16,êÖ,201805,2018,5,16,0,0,0,0
2018/5/17,ñÿ,201805,2018,5,17,0,0,0,0
2018/5/18,ã‡,201805,2018,5,18,0,0,0,0
2018/5/19,ìy,201805,2018,5,19,1,0,0,0
2018/5/20,ì˙,201805,2018,5,20,1,0,1,1
2018/5/21,åé,201805,2018,5,21,0,0,0,0
2018/5/22,âŒ,201805,2018,5,22,0,0,0,0
2018/5/23,êÖ,201805,2018,5,23,0,0,0,0
2018/5/24,ñÿ,201805,2018,5,24,0,0,0,0
2018/5/25,ã‡,201805,2018,5,25,0,1,0,1
2018/5/26,ìy,201805,2018,5,26,1,0,0,0
2018/5/27,ì˙,201805,2018,5,27,1,0,0,0
2018/5/28,åé,201805,2018,5,28,0,0,0,0
2018/5/29,âŒ,201805,2018,5,29,0,0,0,0
2018/5/30,êÖ,201805,2018,5,30,0,0,1,1
2018/5/31,ñÿ,201805,2018,5,31,0,0,0,0
2018/6/1,ã‡,201806,2018,6,1,0,0,0,0
2018/6/2,ìy,201806,2018,6,2,1,0,0,0
2018/6/3,ì˙,201806,2018,6,3,1,0,0,0
2018/6/4,åé,201806,2018,6,4,0,0,0,0
2018/6/5,âŒ,201806,2018,6,5,0,1,0,1
2018/6/6,êÖ,201806,2018,6,6,0,0,0,0
2018/6/7,ñÿ,201806,2018,6,7,0,0,0,0
2018/6/8,ã‡,201806,2018,6,8,0,0,0,0
2018/6/9,ìy,201806,2018,6,9,1,0,0,0
2018/6/10,ì˙,201806,2018,6,10,1,0,1,1
2018/6/11,åé,201806,2018,6,11,0,0,0,0
2018/6/12,âŒ,201806,2018,6,12,0,0,0,0
2018/6/13,êÖ,201806,2018,6,13,0,0,0,0
2018/6/14,ñÿ,201806,2018,6,14,0,0,0,0
2018/6/15,ã‡,201806,2018,6,15,0,1,0,1
2018/6/16,ìy,201806,2018,6,16,1,0,0,0
2018/6/17,ì˙,201806,2018,6,17,1,0,0,0
2018/6/18,åé,201806,2018,6,18,0,0,0,0
2018/6/19,âŒ,201806,2018,6,19,0,0,0,0
2018/6/20,êÖ,201806,2018,6,20,0,0,1,1
2018/6/21,ñÿ,201806,2018,6,21,0,0,0,0
2018/6/22,ã‡,201806,2018,6,22,0,0,0,0
2018/6/23,ìy,201806,2018,6,23,1,0,0,0
2018/6/24,ì˙,201806,2018,6,24,1,0,0,0
2018/6/25,åé,201806,2018,6,25,0,1,0,1
2018/6/26,âŒ,201806,2018,6,26,0,0,0,0
2018/6/27,êÖ,201806,2018,6,27,0,0,0,0
2018/6/28,ñÿ,201806,2018,6,28,0,0,0,0
2018/6/29,ã‡,201806,2018,6,29,0,0,0,0
2018/6/30,ìy,201806,2018,6,30,1,0,1,1
2018/7/1,ì˙,201807,2018,7,1,1,0,0,0
2018/7/2,åé,201807,2018,7,2,0,0,0,0
2018/7/3,âŒ,201807,2018,7,3,0,0,0,0
2018/7/4,êÖ,201807,2018,7,4,0,0,0,0
2018/7/5,ñÿ,201807,2018,7,5,0,1,0,1
2018/7/6,ã‡,201807,2018,7,6,0,0,0,0
2018/7/7,ìy,201807,2018,7,7,1,0,0,0
2018/7/8,ì˙,201807,2018,7,8,1,0,0,0
2018/7/9,åé,201807,2018,7,9,0,0,0,0
2018/7/10,âŒ,201807,2018,7,10,0,0,1,1
2018/7/11,êÖ,201807,2018,7,11,0,0,0,0
2018/7/12,ñÿ,201807,2018,7,12,0,0,0,0
2018/7/13,ã‡,201807,2018,7,13,0,0,0,0
2018/7/14,ìy,201807,2018,7,14,1,0,0,0
2018/7/15,ì˙,201807,2018,7,15,1,1,0,1
2018/7/16,åé,201807,2018,7,16,1,0,0,0
2018/7/17,âŒ,201807,2018,7,17,0,0,0,0
2018/7/18,êÖ,201807,2018,7,18,0,0,0,0
2018/7/19,ñÿ,201807,2018,7,19,0,0,0,0
2018/7/20,ã‡,201807,2018,7,20,0,0,1,1
2018/7/21,ìy,201807,2018,7,21,1,0,0,0
2018/7/22,ì˙,201807,2018,7,22,1,0,0,0
2018/7/23,åé,201807,2018,7,23,0,0,0,0
2018/7/24,âŒ,201807,2018,7,24,0,0,0,0
2018/7/25,êÖ,201807,2018,7,25,0,1,0,1
2018/7/26,ñÿ,201807,2018,7,26,0,0,0,0
2018/7/27,ã‡,201807,2018,7,27,0,0,0,0
2018/7/28,ìy,201807,2018,7,28,1,0,0,0
2018/7/29,ì˙,201807,2018,7,29,1,0,0,0
2018/7/30,åé,201807,2018,7,30,0,0,1,1
2018/7/31,âŒ,201807,2018,7,31,0,0,0,0
2018/8/1,êÖ,201808,2018,8,1,0,0,0,0
2018/8/2,ñÿ,201808,2018,8,2,0,0,0,0
2018/8/3,ã‡,201808,2018,8,3,0,0,0,0
2018/8/4,ìy,201808,2018,8,4,1,0,0,0
2018/8/5,ì˙,201808,2018,8,5,1,1,0,1
2018/8/6,åé,201808,2018,8,6,0,0,0,0
2018/8/7,âŒ,201808,2018,8,7,0,0,0,0
2018/8/8,êÖ,201808,2018,8,8,0,0,0,0
2018/8/9,ñÿ,201808,2018,8,9,0,0,0,0
2018/8/10,ã‡,201808,2018,8,10,0,0,1,1
2018/8/11,ìy,201808,2018,8,11,1,0,0,0
2018/8/12,ì˙,201808,2018,8,12,1,0,0,0
2018/8/13,åé,201808,2018,8,13,0,0,0,0
2018/8/14,âŒ,201808,2018,8,14,0,0,0,0
2018/8/15,êÖ,201808,2018,8,15,0,1,0,1
2018/8/16,ñÿ,201808,2018,8,16,0,0,0,0
2018/8/17,ã‡,201808,2018,8,17,0,0,0,0
2018/8/18,ìy,201808,2018,8,18,1,0,0,0
2018/8/19,ì˙,201808,2018,8,19,1,0,0,0
2018/8/20,åé,201808,2018,8,20,0,0,1,1
2018/8/21,âŒ,201808,2018,8,21,0,0,0,0
