発注GP,部門コード,部門名,#N/A_1,#N/A_2,#N/A_3,#N/A_4,#N/A_5,#N/A_6,#N/A_7,BicEC,KBさくら店,KBアクロスプラザ三芳店,KBイオンモール名取店,KBイオンモール堺鉄砲町店,KBイオン昭島SC店,KBファボーレ富山店,KB三鷹店,KB上尾　春日店,KB井草店,KB会津若松店,KB八王子高倉店,KB南砂町SUNAMO店,KB南越谷店,KB卸団地店,KB厚木栄町店,KB名谷店,KB和光店,KB善福寺店,KB大東店,KB宇品店,KB宇都宮本店,KB富士店,KB富山店,KB小倉店,KB小平店,KB広島インター緑井店,KB座間店,KB志村店,KB成城店,KB所沢店,KB新小岩店,KB新潟店,KB方木田店,KB日光店,KB春日部店,KB有松インター店,KB東村山店,KB東海大学東店,KB松戸店,KB柏店,KB横浜大口店,KB横須賀店,KB江北駅前店,KB江戸川店,KB池上店,KB沼津店,KB泉中央店,KB浜松店,KB浦和店,KB海老名店,KB深作店,KB清洲東インター店,KB港北インター店,KB港北東急SC店,KB熊本店,KB熊谷店,KB熱田店,KB甲府バイパス店,KB相模原店,KB福岡春日店,KB福岡西店,KB福島店,KB箕面店,KB習志野店,KB船橋店,KB若林店,KB茨木店,KB葛飾店,KB西友ひばりヶ丘店,KB西友二俣川,KB西東京店,KB越谷店,KB足立加平店,KB那覇店,KB郡山店,KB静岡店,KB駒生店,KB高崎店,KB高野店,KB鹿沼店,KB黒磯店,KBﾍﾞﾙｸｽﾓｰﾙ浮間舟渡店,NEW上越店,NEW与野店,NEW久喜,NEW伊勢崎店,NEW学園都市店,NEW山口宇部空港店,NEW弘前店,NEW生野店,NEW甲府,NEW白河店,NEW真岡店,NEW足利店,SELECT上板橋店,アキバソフマップ,コジマWowma！店,コジマアマゾン店,コジマダイレクトＳＰ,コジマネット,コジマ楽天市場店,コジマＹａｈｏｏ！店,ソフマップアマゾン店,ソフマップコム法人,ソフマップドットコム,ソフマップ楽天,ソフマップ法人,ソフマップ法人WEB用,ソフマップ法人関西,デジタルコレクション,ドットコムY！SHP,モバイル,仙台法人事業所,北関東法人事業所,大阪法人事業所,有楽町店,札幌法人事業所,東京法人事業所,楽天ビック,法人なんば,法人ドットコム,法人名古屋,法人第１グループ,法人第３グループ,法人第４グループ,法人赤坂見附駅店,神戸ハーバーランド店,福岡法人事業所,赤坂見附駅店,ＢＩＣアマゾン店,ＢＩＣ楽天市場店,売上金額_sum,販売数_sum,有楽町店_売上比率,ＢＩＣ楽天市場店_売上比率,BicEC_売上比率,赤坂見附駅店_売上比率,法人第１グループ_売上比率,法人第３グループ_売上比率,法人第４グループ_売上比率,モバイル_売上比率,ＢＩＣアマゾン店_売上比率,楽天ビック_売上比率,法人赤坂見附駅店_売上比率,法人名古屋_売上比率,法人なんば_売上比率,法人ドットコム_売上比率,ソフマップアマゾン店_売上比率,ソフマップ楽天_売上比率,アキバソフマップ_売上比率,デジタルコレクション_売上比率,ドットコムY！SHP_売上比率,ソフマップ法人WEB用_売上比率,ソフマップ法人_売上比率,ソフマップドットコム_売上比率,ソフマップコム法人_売上比率,ソフマップ法人関西_売上比率,コジマダイレクトＳＰ_売上比率,コジマWowma！店_売上比率,KB西友二俣川_売上比率,KBﾍﾞﾙｸｽﾓｰﾙ浮間舟渡店_売上比率,NEW弘前店_売上比率,KB泉中央店_売上比率,KBイオンモール名取店_売上比率,KB卸団地店_売上比率,NEW白河店_売上比率,KB郡山店_売上比率,KB会津若松店_売上比率,KB福島店_売上比率,KB方木田店_売上比率,NEW学園都市店_売上比率,KB駒生店_売上比率,KB鹿沼店_売上比率,NEW足利店_売上比率,NEW真岡店_売上比率,KB日光店_売上比率,KB黒磯店_売上比率,KBさくら店_売上比率,コジマネット_売上比率,NEW伊勢崎店_売上比率,KB高崎店_売上比率,KB深作店_売上比率,KB和光店_売上比率,KB南越谷店_売上比率,NEW久喜_売上比率,NEW与野店_売上比率,KB浦和店_売上比率,KB越谷店_売上比率,KB熊谷店_売上比率,KB上尾　春日店_売上比率,KB春日部店_売上比率,KB所沢店_売上比率,KBアクロスプラザ三芳店_売上比率,KB柏店_売上比率,KB松戸店_売上比率,KB船橋店_売上比率,KB習志野店_売上比率,SELECT上板橋店_売上比率,KB小平店_売上比率,KB港北東急SC店_売上比率,KB江戸川店_売上比率,KB井草店_売上比率,KB若林店_売上比率,KB志村店_売上比率,KB新小岩店_売上比率,KB三鷹店_売上比率,KB池上店_売上比率,KB善福寺店_売上比率,KB葛飾店_売上比率,KB東村山店_売上比率,KB江北駅前店_売上比率,KB南砂町SUNAMO店_売上比率,KB西東京店_売上比率,KB足立加平店_売上比率,KBイオン昭島SC店_売上比率,KB成城店_売上比率,KB港北インター店_売上比率,KB厚木栄町店_売上比率,KB海老名店_売上比率,KB横須賀店_売上比率,KB相模原店_売上比率,KB座間店_売上比率,KB横浜大口店_売上比率,KB東海大学東店_売上比率,KB新潟店_売上比率,NEW上越店_売上比率,NEW甲府_売上比率,KB甲府バイパス店_売上比率,KB富山店_売上比率,KBファボーレ富山店_売上比率,KB静岡店_売上比率,KB浜松店_売上比率,KB沼津店_売上比率,KB富士店_売上比率,KB熱田店_売上比率,KB有松インター店_売上比率,KB清洲東インター店_売上比率,KB高野店_売上比率,KB箕面店_売上比率,KB茨木店_売上比率,NEW生野店_売上比率,KB大東店_売上比率,KB名谷店_売上比率,神戸ハーバーランド店_売上比率,KB宇品店_売上比率,KB広島インター緑井店_売上比率,NEW山口宇部空港店_売上比率,KB福岡春日店_売上比率,KB福岡西店_売上比率,KB小倉店_売上比率,KB熊本店_売上比率,KB那覇店_売上比率,KB宇都宮本店_売上比率,KB八王子高倉店_売上比率,コジマ楽天市場店_売上比率,コジマＹａｈｏｏ！店_売上比率,コジマアマゾン店_売上比率,KBイオンモール堺鉄砲町店_売上比率,KB西友ひばりヶ丘店_売上比率,北関東法人事業所_売上比率,仙台法人事業所_売上比率,東京法人事業所_売上比率,大阪法人事業所_売上比率,福岡法人事業所_売上比率,札幌法人事業所_売上比率,#N/A_6_売上比率,#N/A_3_売上比率,#N/A_7_売上比率,#N/A_5_売上比率,#N/A_2_売上比率,#N/A_1_売上比率,#N/A_4_売上比率,JAN数
その他,621030,観光土産（食器）,,,,,,,,10800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48600.0,,,,,,,59400.0,,,,,,,,,,,,,118800.0,22.0,,,0.09090909090909091,,,,,0.4090909090909091,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
その他,621080,観光土産（玩具）,,,,,,,,13930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15334.0,,,,,,,11922.0,,,,,,,,,,,,,41186.0,32.0,,,0.33822172582916527,,,,,0.37231097945903946,,0.2894672947117953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
オーディオアクセサリ,101015,ポータブルヘッドホンアンプ,,,,,,,,47530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30024.0,,32367.0,60102.0,8553.0,44560.0,,75848.0,4039.0,,,,,29797.0,180358.0,,,,,,,182095.0,,,,,,,,,,,105795.0,,801068.0,32.0,,,0.059333290057772874,,,,,0.22514692884998527,0.1320674399676432,0.2273152840957322,,,,,0.055625739637583826,0.0050420189047621425,,,0.03719659254894715,,,0.09468359739747437,,,,,,,,,,,,,,,,,,,,,,,,0.040404809579211755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07502733850309837,0.01067699621005957,0.03747996424772928,,,,,,,,,,,,,,,,44
オーディオアクセサリ,107710,ハイレゾ対応ヘッドホン,,,,,,,,501114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15746.0,549603.0,144415.0,249866.0,574463.0,476358.0,948703.0,,143799.0,222151.0,,,,95232.0,272435.0,971224.0,,,,,,,1084970.0,,,,,,,,,,,567014.0,,6817093.0,242.0,,,0.07350845881081569,,,,,0.14246893800627336,0.08317533587997113,0.15915434922187507,,,,,0.13916533044216942,0.03258735064931636,,0.013969590850528223,0.039963515240293776,,,0.02109388855337605,,,0.021184249650107456,0.0023097821901505522,,,,,,,,,,,,,,,,,,,,0.036652866551769206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0842680303759975,0.06987699889087622,0.08062131468648,,,,,,,,,,,,,,,,63
オーディオアクセサリ,107720,ハイレゾ対応イヤホン,,,,,,,,999183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65141.0,288183.0,176510.0,421443.0,667412.0,1150855.0,598066.0,,246105.0,422886.0,,,,118989.0,134963.0,880895.0,,,,,,,1888289.0,,5475.0,,,,,,,,,104640.0,,8169035.0,554.0,,,0.12231346786982795,,,,,0.10783342218511734,0.012809346514000735,0.23115202713662017,,,,0.0006702138012629399,0.07321134013993084,0.05176694676911043,,0.01456585753396821,0.01652129045842012,,,0.030126569417317957,,,0.02160720329879845,0.007974136480012634,,,,,,,,,,,,,,,,,,,,0.05159030411792825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08170022530200935,0.1408801651602668,0.035277483815407816,,,,,,,,,,,,,,,,221
オーディオアクセサリ,107740,ライトニングイヤホン,,,,,,,,115602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10584.0,84672.0,,15660.0,21168.0,36828.0,5378.0,,20368.0,9698.0,,,,66808.0,21038.0,68580.0,,,,,,,60976.0,,,,,,,,,,,,,537360.0,45.0,,,0.21512952210808398,,,,,0.12762393925859758,,0.11347327676045854,,,,,0.010008188179246688,0.01804749143963079,,0.12432633616197707,0.039150662498139054,,,0.037903826112847996,,,,0.019696292987941046,,,,,,,,,,,,,,,,,,,,0.029142474318892362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03939258597588209,0.06853506029477445,0.15757034390352836,,,,,,,,,,,,,,,,43
オーディオアクセサリ,107750,フルワイヤレスイヤホン,,,,,,,,3700932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317860.0,3990847.0,309359.0,437911.0,2336087.0,3692576.0,839719.0,,315949.0,1178363.0,,79887.0,,314183.0,760229.0,5433219.0,,,,,,,5331660.0,,557540.0,,,,,,,,,590857.0,,30216338.0,1451.0,,,0.12248115572442961,,,,,0.17981063754317284,0.01955422261956429,0.176449575061015,,,,0.018451607206670776,0.02779023056996516,0.03899754497053878,,0.01039778546295054,0.025159534553790074,0.0026438346036505153,,0.010456230665674974,,,0.01023813673251868,0.01051947459682242,,,,,,,,,,,,,,,,,,,,0.014492523878969052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009650408332075184,,,,,,,,,,,,,,,0.07731204886574938,0.12220461658854888,0.1320757995227615,,,,,,,,,,,,,,,,121
オーディオアクセサリ,107760,骨伝導イヤホン,,,,,,,,266743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48803.0,13910.0,55878.0,,92834.0,19310.0,,19310.0,38620.0,,,,11631.0,54214.0,180852.0,,,,,,,90114.0,,,,,,,,,,,,,892219.0,53.0,,,0.29896583686292266,,,,,0.20269911311012206,,0.10099986662467399,,,,,0.02164266844799315,0.0432853368959863,,0.013036037116447867,0.06076310860898501,,,0.02164266844799315,,,0.015590342729755811,,,,,,,,,,,,,,,,,,,,,0.06262812157104926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10404844550497132,0.054698454079099415,,,,,,,,,,,,,,,,23
オーディオアクセサリ,107770,集音機・視聴補助,,,,,,,,241875.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212218.0,29311.0,99554.0,771093.0,702277.0,88581.0,,,168166.0,,,,30942.0,,127882.0,,,,,,,1570139.0,,,,,,,,,,,117244.0,,4159282.0,131.0,,,0.05815306584165248,,,,,0.030746172055657682,0.028188519076129005,0.3775024150802951,,,,,0.02129718542767718,0.0404314975517409,,0.007439264757715394,,,,,,,0.007047129769032251,,,,,,,,,,,,,,,,,,,,,0.02393538115472815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18539089198568406,0.16884572866182193,0.051022748637865864,,,,,,,,,,,,,,,,2
オーディオアクセサリ,107780,リケーブル,,,,,,,,609122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13316.0,284723.0,9320.0,59647.0,63028.0,168312.0,452211.0,,94248.0,116335.0,,,,34538.0,122953.0,353940.0,,,,,,,583680.0,,,,,,,,,,,156607.0,,3121980.0,264.0,,,0.19510759197688646,,,,,0.11337036111698345,0.050162717249950355,0.18695827647838872,,,,,0.1448475006246036,0.037263211167272055,,0.01106285113934106,0.03938301975028668,,,0.030188534199450348,,,0.002985284979404096,0.00426524192980096,,,,,,,,,,,,,,,,,,,,0.01910550355863907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02018847013754092,0.053911940499298525,0.0911994951921537,,,,,,,,,,,,,,,,211
