発注GP,部門コード,部門名,物流コード,店舗コード,平均売価,販売数,売上金額
ＡＳＰ,975210,エアレジ本体,861,094,15954.806451,462,3205480.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,094,12628.25,81,1140591.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,256,12305.12,81,923238.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,259,12607.19178,136,1404874.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,289,13011.420382,1570,21795192.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,331,13586.0,6,69420.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,543,10022.0,2,20044.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,736,10135.4,36,340272.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,737,11686.5,215,2586918.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,738,8151.0,7,58048.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,754,8836.75,8,77595.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,809,23619.0,2,47238.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,879,18808.92,54,874896.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,253,14554.264705,100,1418120.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,256,11061.68421,21,227538.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,259,12206.833333,70,879863.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,268,9000.6,9,87760.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,289,13979.007575,417,4720847.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,737,8448.037037,45,333011.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,754,55490.0,2,110980.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,809,9763.0,5,48815.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,094,17871.029411,58,975585.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,240,15465.0,1,15465.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,253,14284.8,11,158907.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,268,9251.333333,7,64385.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,879,16867.888888,-1,92554.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,240,21264.066666,57,1261524.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,253,15824.581632,142,2339462.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,256,16971.318181,29,587314.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,259,17007.0,68,1115981.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,289,16833.988549,424,6677392.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,485,15901.6,12,130396.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,514,16194.0,5,81386.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,531,4298.0,1,4298.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,543,8893.5,2,17787.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,757,7765.0,5,38825.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,758,8445.0,1,8445.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,845,12527.5,2,25055.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,846,17131.609756,92,1467893.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,876,7765.0,1,7765.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,240,12679.0,3,38037.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,253,32550.666666,3,97652.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,579,26330.0,1,26330.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,613,12527.333333,3,37582.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,738,16542.263157,26,409534.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,842,28196.0,5,140980.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,845,17507.625,9,159501.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,846,24935.142857,18,432271.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,879,29710.5,6,178263.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,094,29972.625,7,229197.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,268,95904.0,1,95904.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,566,16718.0,1,16718.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,737,22795.0,3,68385.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,879,33908.333333,5,192866.0
ＤＯＳ／Ｖパーツ,343060,ＤＶＤマルチ（バルク）,861,253,2132.066666,25,51631.0
ＤＯＳ／Ｖパーツ,343060,ＤＶＤマルチ（バルク）,861,256,1965.0,23,45195.0
ＤＯＳ／Ｖパーツ,343060,ＤＶＤマルチ（バルク）,861,259,1965.0,30,58950.0
ＡＳＰ,975210,エアレジ本体,861,842,10163.263157,180,685578.0
ＡＳＰ,975210,エアレジ本体,861,845,3218.0,10,32180.0
ＡＳＰ,975210,エアレジ本体,861,846,7173.405405,57,282696.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,240,7311.25,6,45530.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,253,11954.318181,425,4364119.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,268,11379.25,46,473661.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,757,18730.333333,6,99325.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,842,13120.444444,12,160052.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,845,14290.75,5,73773.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,846,12458.431818,63,831256.0
ＤＯＳ／Ｖパーツ,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）,861,876,17093.8,10,261204.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,094,14745.928571,46,663326.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,240,12869.6,38,532736.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,331,14342.0,2,28684.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,543,6469.0,1,6469.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,736,6469.0,2,12938.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,738,6591.333333,6,40282.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,842,19638.2,13,245413.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,846,14850.1,24,361336.0
ＤＯＳ／Ｖパーツ,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）,861,879,17153.416666,21,431209.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,256,8672.0,2,17344.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,259,31060.0,1,31060.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,289,18028.441176,105,1833393.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,543,23559.5,2,47119.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,736,16858.933333,19,314744.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,737,22135.866666,21,425941.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,738,8877.0,3,26631.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,842,13640.0,7,97305.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,846,21961.346153,40,773272.0
ＤＯＳ／Ｖパーツ,341025,ＮＡＮＤ２．５ＨＤＤ（バルク）,861,876,15465.0,1,15465.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,094,16028.775862,76,1116246.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,268,11585.0,61,535602.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,736,16895.884615,57,735927.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,737,14134.574468,92,1061001.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,738,8445.0,12,101340.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,754,15638.0,3,46914.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,842,16050.0,12,201297.0
ＤＯＳ／Ｖパーツ,341027,ＨＤＤその他（バルク）,861,879,18250.28125,71,1189464.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,094,31412.576923,28,889734.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,256,16912.0,1,16912.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,268,66744.0,1,66744.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,289,103928.0,3,398756.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,543,14044.111111,12,168688.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,736,19032.5,18,334111.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,737,20032.125,12,242939.0
ＤＯＳ／Ｖパーツ,341060,ＮＡＳ,861,754,28490.0,2,56980.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,240,18295.0,1,18295.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,253,30024.0,5,135000.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,289,36050.0,5,122254.0
ＤＯＳ／Ｖパーツ,341070,Ｐ・ＳＳＤ,861,846,45862.0,4,183448.0
ＤＯＳ／Ｖパーツ,343060,ＤＶＤマルチ（バルク）,861,094,1965.0,17,33405.0
ＤＯＳ／Ｖパーツ,343060,ＤＶＤマルチ（バルク）,861,842,1965.0,2,3930.0
ＤＯＳ／Ｖパーツ,343130,ブルーレイディスクドライブ（バルク）,861,094,10821.333333,3,32464.0
ＤＯＳ／Ｖパーツ,343130,ブルーレイディスクドライブ（バルク）,861,240,12744.0,1,12744.0
ＤＯＳ／Ｖパーツ,343130,ブルーレイディスクドライブ（バルク）,861,736,7873.0,4,31492.0
ＤＯＳ／Ｖパーツ,343130,ブルーレイディスクドライブ（バルク）,861,879,16718.0,1,16718.0
ＤＯＳ／Ｖパーツ,343060,ＤＶＤマルチ（バルク）,861,289,2247.935483,97,198123.0
ＤＯＳ／Ｖパーツ,343060,ＤＶＤマルチ（バルク）,861,737,1965.0,4,7860.0
