発注GP,部門コード,部門名,#N/A_1,#N/A_2,#N/A_3,#N/A_4,#N/A_5,#N/A_6,#N/A_7,BicEC,KBさくら店,KBアクロスプラザ三芳店,KBイオンモール名取店,KBイオンモール堺鉄砲町店,KBイオン昭島SC店,KBファボーレ富山店,KB三鷹店,KB上尾　春日店,KB井草店,KB会津若松店,KB八王子高倉店,KB南砂町SUNAMO店,KB南越谷店,KB卸団地店,KB厚木栄町店,KB名谷店,KB和光店,KB善福寺店,KB大東店,KB宇品店,KB宇都宮本店,KB富士店,KB富山店,KB小倉店,KB小平店,KB広島インター緑井店,KB座間店,KB志村店,KB成城店,KB所沢店,KB新小岩店,KB新潟店,KB方木田店,KB日光店,KB春日部店,KB有松インター店,KB東村山店,KB東海大学東店,KB松戸店,KB柏店,KB横浜大口店,KB横須賀店,KB江北駅前店,KB江戸川店,KB池上店,KB沼津店,KB泉中央店,KB浜松店,KB浦和店,KB海老名店,KB深作店,KB清洲東インター店,KB港北インター店,KB港北東急SC店,KB熊本店,KB熊谷店,KB熱田店,KB甲府バイパス店,KB相模原店,KB福岡春日店,KB福岡西店,KB福島店,KB箕面店,KB習志野店,KB船橋店,KB若林店,KB茨木店,KB葛飾店,KB西友ひばりヶ丘店,KB西友二俣川,KB西東京店,KB越谷店,KB足立加平店,KB那覇店,KB郡山店,KB静岡店,KB駒生店,KB高崎店,KB高野店,KB鹿沼店,KB黒磯店,KBﾍﾞﾙｸｽﾓｰﾙ浮間舟渡店,NEW上越店,NEW与野店,NEW久喜,NEW伊勢崎店,NEW学園都市店,NEW山口宇部空港店,NEW弘前店,NEW生野店,NEW甲府,NEW白河店,NEW真岡店,NEW足利店,SELECT上板橋店,アキバソフマップ,コジマWowma！店,コジマアマゾン店,コジマダイレクトＳＰ,コジマネット,コジマ楽天市場店,コジマＹａｈｏｏ！店,ソフマップアマゾン店,ソフマップコム法人,ソフマップドットコム,ソフマップ楽天,ソフマップ法人,ソフマップ法人WEB用,ソフマップ法人関西,デジタルコレクション,ドットコムY！SHP,モバイル,仙台法人事業所,北関東法人事業所,大阪法人事業所,有楽町店,札幌法人事業所,東京法人事業所,楽天ビック,法人なんば,法人ドットコム,法人名古屋,法人第１グループ,法人第３グループ,法人第４グループ,法人赤坂見附駅店,神戸ハーバーランド店,福岡法人事業所,赤坂見附駅店,ＢＩＣアマゾン店,ＢＩＣ楽天市場店,売上金額_sum,販売数_sum,有楽町店_販売比率,ＢＩＣ楽天市場店_販売比率,BicEC_販売比率,赤坂見附駅店_販売比率,法人第１グループ_販売比率,法人第３グループ_販売比率,法人第４グループ_販売比率,モバイル_販売比率,ＢＩＣアマゾン店_販売比率,楽天ビック_販売比率,法人赤坂見附駅店_販売比率,法人名古屋_販売比率,法人なんば_販売比率,法人ドットコム_販売比率,ソフマップアマゾン店_販売比率,ソフマップ楽天_販売比率,アキバソフマップ_販売比率,デジタルコレクション_販売比率,ドットコムY！SHP_販売比率,ソフマップ法人WEB用_販売比率,ソフマップ法人_販売比率,ソフマップドットコム_販売比率,ソフマップコム法人_販売比率,ソフマップ法人関西_販売比率,コジマダイレクトＳＰ_販売比率,コジマWowma！店_販売比率,KB西友二俣川_販売比率,KBﾍﾞﾙｸｽﾓｰﾙ浮間舟渡店_販売比率,NEW弘前店_販売比率,KB泉中央店_販売比率,KBイオンモール名取店_販売比率,KB卸団地店_販売比率,NEW白河店_販売比率,KB郡山店_販売比率,KB会津若松店_販売比率,KB福島店_販売比率,KB方木田店_販売比率,NEW学園都市店_販売比率,KB駒生店_販売比率,KB鹿沼店_販売比率,NEW足利店_販売比率,NEW真岡店_販売比率,KB日光店_販売比率,KB黒磯店_販売比率,KBさくら店_販売比率,コジマネット_販売比率,NEW伊勢崎店_販売比率,KB高崎店_販売比率,KB深作店_販売比率,KB和光店_販売比率,KB南越谷店_販売比率,NEW久喜_販売比率,NEW与野店_販売比率,KB浦和店_販売比率,KB越谷店_販売比率,KB熊谷店_販売比率,KB上尾　春日店_販売比率,KB春日部店_販売比率,KB所沢店_販売比率,KBアクロスプラザ三芳店_販売比率,KB柏店_販売比率,KB松戸店_販売比率,KB船橋店_販売比率,KB習志野店_販売比率,SELECT上板橋店_販売比率,KB小平店_販売比率,KB港北東急SC店_販売比率,KB江戸川店_販売比率,KB井草店_販売比率,KB若林店_販売比率,KB志村店_販売比率,KB新小岩店_販売比率,KB三鷹店_販売比率,KB池上店_販売比率,KB善福寺店_販売比率,KB葛飾店_販売比率,KB東村山店_販売比率,KB江北駅前店_販売比率,KB南砂町SUNAMO店_販売比率,KB西東京店_販売比率,KB足立加平店_販売比率,KBイオン昭島SC店_販売比率,KB成城店_販売比率,KB港北インター店_販売比率,KB厚木栄町店_販売比率,KB海老名店_販売比率,KB横須賀店_販売比率,KB相模原店_販売比率,KB座間店_販売比率,KB横浜大口店_販売比率,KB東海大学東店_販売比率,KB新潟店_販売比率,NEW上越店_販売比率,NEW甲府_販売比率,KB甲府バイパス店_販売比率,KB富山店_販売比率,KBファボーレ富山店_販売比率,KB静岡店_販売比率,KB浜松店_販売比率,KB沼津店_販売比率,KB富士店_販売比率,KB熱田店_販売比率,KB有松インター店_販売比率,KB清洲東インター店_販売比率,KB高野店_販売比率,KB箕面店_販売比率,KB茨木店_販売比率,NEW生野店_販売比率,KB大東店_販売比率,KB名谷店_販売比率,神戸ハーバーランド店_販売比率,KB宇品店_販売比率,KB広島インター緑井店_販売比率,NEW山口宇部空港店_販売比率,KB福岡春日店_販売比率,KB福岡西店_販売比率,KB小倉店_販売比率,KB熊本店_販売比率,KB那覇店_販売比率,KB宇都宮本店_販売比率,KB八王子高倉店_販売比率,コジマ楽天市場店_販売比率,コジマＹａｈｏｏ！店_販売比率,コジマアマゾン店_販売比率,KBイオンモール堺鉄砲町店_販売比率,KB西友ひばりヶ丘店_販売比率,北関東法人事業所_販売比率,仙台法人事業所_販売比率,東京法人事業所_販売比率,大阪法人事業所_販売比率,福岡法人事業所_販売比率,札幌法人事業所_販売比率,#N/A_6_販売比率,#N/A_3_販売比率,#N/A_7_販売比率,#N/A_5_販売比率,#N/A_2_販売比率,#N/A_1_販売比率,#N/A_4_販売比率,JAN数
その他,621030,観光土産（食器）,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,11.0,,,,,,,,,,,,,118800.0,22.0,,,0.09090909090909091,,,,,0.4090909090909091,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
その他,621080,観光土産（玩具）,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,10.0,,,,,,,,,,,,,41186.0,32.0,,,0.375,,,,,0.3125,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
オーディオアクセサリ,101015,ポータブルヘッドホンアンプ,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,2.0,3.0,,2.0,1.0,,,,,1.0,6.0,,,,,,,9.0,,,,,,,,,,,3.0,,801068.0,32.0,,,0.03125,,,,,0.1875,0.09375,0.28125,,,,,0.09375,0.03125,,,0.03125,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03125,0.0625,0.03125,,,,,,,,,,,,,,,,44
オーディオアクセサリ,107710,ハイレゾ対応ヘッドホン,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,16.0,5.0,7.0,18.0,21.0,32.0,,5.0,12.0,,,,4.0,11.0,26.0,,,,,,,51.0,,,,,,,,,,,14.0,,6817093.0,242.0,,,0.0743801652892562,,,,,0.10743801652892562,0.05785123966942149,0.21074380165289255,,,,,0.1322314049586777,0.049586776859504134,,0.01652892561983471,0.045454545454545456,,,0.02066115702479339,,,0.02066115702479339,0.008264462809917356,,,,,,,,,,,,,,,,,,,,0.028925619834710745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0743801652892562,0.08677685950413223,0.06611570247933884,,,,,,,,,,,,,,,,63
オーディオアクセサリ,107720,ハイレゾ対応イヤホン,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,16.0,14.0,17.0,48.0,96.0,38.0,,17.0,30.0,,,,14.0,12.0,53.0,,,,,,,123.0,,1.0,,,,,,,,,5.0,,8169035.0,554.0,,,0.10830324909747292,,,,,0.09566787003610108,0.009025270758122744,0.22202166064981949,,,,0.0018050541516245488,0.06859205776173286,0.05415162454873646,,0.02527075812274368,0.021660649819494584,,,0.030685920577617327,,,0.02527075812274368,0.018050541516245487,,,,,,,,,,,,,,,,,,,,0.030685920577617327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08664259927797834,0.17328519855595667,0.02888086642599278,,,,,,,,,,,,,,,,221
オーディオアクセサリ,107740,ライトニングイヤホン,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,1.0,2.0,3.0,1.0,,2.0,1.0,,,,4.0,2.0,6.0,,,,,,,5.0,,,,,,,,,,,,,537360.0,45.0,,,0.2,,,,,0.13333333333333333,,0.1111111111111111,,,,,0.022222222222222223,0.022222222222222223,,0.08888888888888889,0.044444444444444446,,,0.044444444444444446,,,,0.022222222222222223,,,,,,,,,,,,,,,,,,,,0.022222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044444444444444446,0.06666666666666667,0.17777777777777778,,,,,,,,,,,,,,,,43
オーディオアクセサリ,107750,フルワイヤレスイヤホン,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,155.0,17.0,21.0,120.0,165.0,49.0,,16.0,63.0,,3.0,,22.0,34.0,275.0,,,,,,,260.0,,27.0,,,,,,,,,29.0,,30216338.0,1451.0,,,0.1233631977946244,,,,,0.18952446588559613,0.019986216402481046,0.17918676774638181,,,,0.018607856650585803,0.033769813921433495,0.043418332184700204,,0.015161957270847692,0.02343211578221916,0.002067539627842867,,0.011026878015161957,,,0.01171605789110958,0.010337698139214336,,,,,,,,,,,,,,,,,,,,0.014472777394900068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006891798759476223,,,,,,,,,,,,,,,0.08270158511371468,0.11371467953135768,0.10682288077188146,,,,,,,,,,,,,,,,121
オーディオアクセサリ,107760,骨伝導イヤホン,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,,5.0,1.0,,1.0,2.0,,,,1.0,3.0,11.0,,,,,,,4.0,,,,,,,,,,,,,892219.0,53.0,,,0.3018867924528302,,,,,0.20754716981132076,,0.07547169811320754,,,,,0.018867924528301886,0.03773584905660377,,0.018867924528301886,0.05660377358490566,,,0.018867924528301886,,,0.018867924528301886,,,,,,,,,,,,,,,,,,,,,0.07547169811320754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09433962264150944,0.07547169811320754,,,,,,,,,,,,,,,,23
オーディオアクセサリ,107770,集音機・視聴補助,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,3.0,24.0,22.0,3.0,,,5.0,,,,1.0,,4.0,,,,,,,50.0,,,,,,,,,,,4.0,,4159282.0,131.0,,,0.05343511450381679,,,,,0.030534351145038167,0.030534351145038167,0.3816793893129771,,,,,0.022900763358778626,0.03816793893129771,,0.007633587786259542,,,,,,,0.007633587786259542,,,,,,,,,,,,,,,,,,,,,0.022900763358778626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183206106870229,0.16793893129770993,0.05343511450381679,,,,,,,,,,,,,,,,2
オーディオアクセサリ,107780,リケーブル,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,21.0,1.0,5.0,3.0,14.0,49.0,,9.0,9.0,,,,3.0,11.0,26.0,,,,,,,49.0,,,,,,,,,,,14.0,,3121980.0,264.0,,,0.1856060606060606,,,,,0.09848484848484848,0.05303030303030303,0.1856060606060606,,,,,0.1856060606060606,0.03409090909090909,,0.011363636363636364,0.041666666666666664,,,0.03409090909090909,,,0.003787878787878788,0.003787878787878788,,,,,,,,,,,,,,,,,,,,0.01893939393939394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011363636363636364,0.05303030303030303,0.07954545454545454,,,,,,,,,,,,,,,,211
