item_cd,store_cdード,商品名,日付,発注GP,販売数,部門コード,部門名
0730143309165,861,AMD Ryzen 5 2600 with Wraith Stealth cooler,2018-08-30,ＤＯＳ／Ｖパーツ,1,368012,ＡＭＤ
0730143309165,861,AMD Ryzen 5 2600 with Wraith Stealth cooler,2018-08-31,ＤＯＳ／Ｖパーツ,0,368012,ＡＭＤ
4988755015523,861,D3N1600PS-L4G,2018-08-30,ＤＯＳ／Ｖパーツ,1,365037,ＤＤＲ３ＮＯＴＥ
4988755015523,861,D3N1600PS-L4G,2018-08-31,ＤＯＳ／Ｖパーツ,0,365037,ＤＤＲ３ＮＯＴＥ
4713218461605,861,AD4U266638G19-2,2018-08-30,ＤＯＳ／Ｖパーツ,1,365041,ＤＤＲ４
4713218461605,861,AD4U266638G19-2,2018-08-31,ＤＯＳ／Ｖパーツ,0,365041,ＤＤＲ４
4997401168483,861,DCDDR4266616GBHS,2018-08-30,ＤＯＳ／Ｖパーツ,1,365041,ＤＤＲ４
4997401168483,861,DCDDR4266616GBHS,2018-08-31,ＤＯＳ／Ｖパーツ,0,365041,ＤＤＲ４
4719692019967,861,F4-2666C19D-16GNT,2018-08-30,ＤＯＳ／Ｖパーツ,1,365011,ＤＴＰメモリ
4719692019967,861,F4-2666C19D-16GNT,2018-08-31,ＤＯＳ／Ｖパーツ,0,365011,ＤＴＰメモリ
4988755041225,861,CT250MX500SSD1／JP,2018-08-30,ＤＯＳ／Ｖパーツ,1,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）
4988755041225,861,CT250MX500SSD1／JP,2018-08-31,ＤＯＳ／Ｖパーツ,0,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）
4988755041232,861,CT500MX500SSD1／JP,2018-08-30,ＤＯＳ／Ｖパーツ,2,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）
4988755041232,861,CT500MX500SSD1／JP,2018-08-31,ＤＯＳ／Ｖパーツ,0,341024,ＨＤＤ２．５ＳＡＴＡ（バルク）
0718037840154,861,WD30EZRZ-RT,2018-08-30,ＤＯＳ／Ｖパーツ,4,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0718037840154,861,WD30EZRZ-RT,2018-08-31,ＤＯＳ／Ｖパーツ,0,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0718037840192,861,WD60EZRZ-RT,2018-08-30,ＤＯＳ／Ｖパーツ,2,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0718037840192,861,WD60EZRZ-RT,2018-08-31,ＤＯＳ／Ｖパーツ,0,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094396,861,BarraCuda ST2000DM005,2018-08-30,ＤＯＳ／Ｖパーツ,1,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094396,861,BarraCuda ST2000DM005,2018-08-31,ＤＯＳ／Ｖパーツ,0,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094402,861,ST4000DM004,2018-08-30,ＤＯＳ／Ｖパーツ,16,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094402,861,ST4000DM004,2018-08-31,ＤＯＳ／Ｖパーツ,0,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094419,861,ST8000DM004,2018-08-30,ＤＯＳ／Ｖパーツ,12,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094419,861,ST8000DM004,2018-08-31,ＤＯＳ／Ｖパーツ,0,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094426,861,ST6000DM003,2018-08-30,ＤＯＳ／Ｖパーツ,5,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649094426,861,ST6000DM003,2018-08-31,ＤＯＳ／Ｖパーツ,0,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649110928,861,Barrcacuda 1TB ST1000DM010,2018-08-30,ＤＯＳ／Ｖパーツ,1,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
0763649110928,861,Barrcacuda 1TB ST1000DM010,2018-08-31,ＤＯＳ／Ｖパーツ,0,341022,ＨＤＤ３．５ＳＡＴＡ（バルク）
4580333578224,861,HDDｹｰｽ/2.5ｲﾝﾁHDD＋SSD/USB3.0,2018-08-30,ＤＯＳ／Ｖパーツ,8,368060,ＨＤＤケース
4580333578224,861,HDDｹｰｽ/2.5ｲﾝﾁHDD＋SSD/USB3.0,2018-08-31,ＤＯＳ／Ｖパーツ,0,368060,ＨＤＤケース
4988755041607,861,KURO-DACHI／CLONE+ERASE／ESKP,2018-08-30,ＤＯＳ／Ｖパーツ,1,368060,ＨＤＤケース
4988755041607,861,KURO-DACHI／CLONE+ERASE／ESKP,2018-08-31,ＤＯＳ／Ｖパーツ,0,368060,ＨＤＤケース
4988755044400,861,KURO-DACHI/ONE,2018-08-30,ＤＯＳ／Ｖパーツ,1,368060,ＨＤＤケース
4988755044400,861,KURO-DACHI/ONE,2018-08-31,ＤＯＳ／Ｖパーツ,0,368060,ＨＤＤケース
0718037856261,861,WDS500G2B0B,2018-08-30,ＤＯＳ／Ｖパーツ,1,341027,ＨＤＤその他（バルク）
0718037856261,861,WDS500G2B0B,2018-08-31,ＤＯＳ／Ｖパーツ,0,341027,ＨＤＤその他（バルク）
0718037856308,861,WDS500G2B0A,2018-08-30,ＤＯＳ／Ｖパーツ,2,341027,ＨＤＤその他（バルク）
0718037856308,861,WDS500G2B0A,2018-08-31,ＤＯＳ／Ｖパーツ,0,341027,ＨＤＤその他（バルク）
0718037856322,861,WDS100T2B0B,2018-08-30,ＤＯＳ／Ｖパーツ,1,341027,ＨＤＤその他（バルク）
0718037856322,861,WDS100T2B0B,2018-08-31,ＤＯＳ／Ｖパーツ,0,341027,ＨＤＤその他（バルク）
0718037859040,861,WDS500G2X0C,2018-08-30,ＤＯＳ／Ｖパーツ,1,341027,ＨＤＤその他（バルク）
0718037859040,861,WDS500G2X0C,2018-08-31,ＤＯＳ／Ｖパーツ,0,341027,ＨＤＤその他（バルク）
4560441094311,861,SSD860EVOﾍﾞｰｼｯｸｷｯﾄ500GB,2018-08-30,ＤＯＳ／Ｖパーツ,7,341027,ＨＤＤその他（バルク）
4560441094311,861,SSD860EVOﾍﾞｰｼｯｸｷｯﾄ500GB,2018-08-31,ＤＯＳ／Ｖパーツ,0,341027,ＨＤＤその他（バルク）
4943508067907,861,SATA2-CASE2.5BK,2018-08-30,ＤＯＳ／Ｖパーツ,3,368063,ＨＤＤモバイルケース
4943508067907,861,SATA2-CASE2.5BK,2018-08-31,ＤＯＳ／Ｖパーツ,0,368063,ＨＤＤモバイルケース
4943508073441,861,ECO-CASE3.5-U2-BK,2018-08-30,ＤＯＳ／Ｖパーツ,2,368061,ＨＤＤ外付ケース
4943508073441,861,ECO-CASE3.5-U2-BK,2018-08-31,ＤＯＳ／Ｖパーツ,0,368061,ＨＤＤ外付ケース
0735858350129,861,Intel Core i7-8700,2018-08-30,ＤＯＳ／Ｖパーツ,3,368011,ＩＮＴＥＬ
0735858350129,861,Intel Core i7-8700,2018-08-31,ＤＯＳ／Ｖパーツ,0,368011,ＩＮＴＥＬ
0735858367349,861,Intel Core i5-8600,2018-08-30,ＤＯＳ／Ｖパーツ,1,368011,ＩＮＴＥＬ
0735858367349,861,Intel Core i5-8600,2018-08-31,ＤＯＳ／Ｖパーツ,0,368011,ＩＮＴＥＬ
0735858367417,861,Intel Core i5-8500,2018-08-30,ＤＯＳ／Ｖパーツ,2,368011,ＩＮＴＥＬ
0735858367417,861,Intel Core i5-8500,2018-08-31,ＤＯＳ／Ｖパーツ,0,368011,ＩＮＴＥＬ
4981254036730,861,Link Station 2ﾄﾞﾗｲﾌﾞ 4TB,2018-08-30,ＤＯＳ／Ｖパーツ,1,341060,ＮＡＳ
4981254036730,861,Link Station 2ﾄﾞﾗｲﾌﾞ 4TB,2018-08-31,ＤＯＳ／Ｖパーツ,0,341060,ＮＡＳ
4537694252706,861,DiskStation DS218play 2ﾍﾞｲNASｷｯﾄ,2018-08-30,ＤＯＳ／Ｖパーツ,1,368064,ＮＡＳケース
4537694252706,861,DiskStation DS218play 2ﾍﾞｲNASｷｯﾄ,2018-08-31,ＤＯＳ／Ｖパーツ,0,368064,ＮＡＳケース
4711246871052,861,Versa H17 -NoWindow-,2018-08-30,ＤＯＳ／Ｖパーツ,1,368020,ＰＣケース
4711246871052,861,Versa H17 -NoWindow-,2018-08-31,ＤＯＳ／Ｖパーツ,0,368020,ＰＣケース
4711246871656,861,Versa H26 Black ／w casefan,2018-08-30,ＤＯＳ／Ｖパーツ,1,368020,ＰＣケース
4711246871656,861,Versa H26 Black ／w casefan,2018-08-31,ＤＯＳ／Ｖパーツ,0,368020,ＰＣケース
