日付,発注GP,dept_cd,部門名,store_cd,chanel_cd,item_cd,商品名,販売数
2018-02-02,医薬品,683091,ベビーオムツ,861,089,4902011735499,ｸﾞ～ﾝ 肌にやさしいおしりふき替用70枚x6P,2
2018-02-02,家電２,252010,単機能レンジ,861,089,4549980001103,単機能ﾚﾝｼﾞ,1
2018-02-02,携帯アクセ,475620,ｉＰｈｏｎｅ用手帳型ケース,861,089,4536219869658,iPhone7 (4.7) ﾘｻとｶﾞｽﾊﾟｰﾙ ﾌﾘｯﾌﾟｶﾊﾞｰ,1
2018-02-02,カメラアクセ,033099,その他カメラアクセサリー関連,861,089,4529214015007,ﾃﾞｼﾞﾀﾙｶﾒﾗ専用防水ｹｰｽ ﾃﾞｨｶﾊﾟｯｸ,1
2018-02-01,パソコンサプライ,393015,純正インクカートリッジ,861,879,4988617187740,純正インク,1
2018-02-01,家電２,252010,単機能レンジ,861,879,4549980001103,単機能ﾚﾝｼﾞ,2
2018-02-02,医薬品,683050,オーラルケア用品（消耗品）,861,089,4901616007864,GUM 電動ﾊﾌﾞﾗｼ用ﾃﾞﾝﾀﾙｼﾞｪﾙ 65g,5
2018-02-01,ディスプレイ,321020,液晶ディスプレイ,861,879,4948570114078,ProLite XU2590HS,1
2018-02-01,医薬品,683083,住居洗剤関連,861,879,4901301324238,ｸｲｯｸﾙﾜｲﾊﾟｰ ﾊﾝﾃﾞｨ本体,1
2018-02-02,携帯アクセ,475629,ｉＰｈｏｎｅ用キャラクターケース,861,089,4562358130991,iPhone5／5s／SE ﾌﾘｯﾌﾟｶﾊﾞｰ ｱﾘｽ,1
2018-02-02,家電２,254070,食器洗い乾燥機,861,089,4549077929280,食器洗い乾燥機,1
2018-02-02,通信,471040,電話機,861,089,4549077778574,ｺｰﾄﾞﾚｽ電話機 子機2台付,1
2018-02-02,家電１,254050,布団乾燥機,861,089,4549077749727,布団あたため乾燥機 ／ FD-F06X2-N,1
2018-02-02,家電１,239830,純正加湿器フィルター,861,089,4549077308016,加湿ﾌｨﾙﾀｰ,2
2018-02-02,照明,282092,その他ＬＥＤ電球,861,089,4549077194411,LED電球,10
2018-02-02,家電２,253020,電気ケトル,861,094,3045386368396,電気ｹﾄﾙ ｱﾌﾟﾚｼｱ ｳﾙﾄﾗｸﾘｰﾝﾈｵ ﾊﾟｰﾙﾎﾜｲﾄ 0.8L,2
2018-02-02,携帯アクセ,475670,携帯電話アクセサリー,861,089,4542202425985,CABLE BITE3 Shark,1
2018-02-02,家電２,272055,浄水器カ－トリッジ,861,089,4006387200169,BJC3 BRITAｸﾗｼｯｸ用3P,1
2018-02-02,家電２,253020,電気ケトル,861,089,3045386368396,電気ｹﾄﾙ ｱﾌﾟﾚｼｱ ｳﾙﾄﾗｸﾘｰﾝﾈｵ ﾊﾟｰﾙﾎﾜｲﾄ 0.8L,4
2018-02-02,医薬品,683062,入浴剤,861,089,4901525005296,爆汗湯ﾎｯﾄｱﾛﾏの香り,2
2018-02-02,家電２,272050,浄水器、整水器,861,094,4006387084196,fun ﾌﾞﾙｰ,1
2018-02-02,デジカメアクセ,361076,純正デジカメケース,861,089,4548736006287,α6000用のﾎﾞﾃﾞｨｹｰｽ,1
2018-02-02,パソコン周辺機器,367080,その他通信機器関連,861,089,4953103298224,Miracastﾚｼｰﾊﾞｰ ﾌﾞﾗｯｸ,1
2018-02-02,音響２,104041,据え置きラジオ,861,089,4905524595277,ﾗｼﾞｵ,1
2018-02-02,家電２,271010,メンズシェーバー,861,089,4906274012090,回転式ｼｪｰﾊﾞｰ,1
2018-02-02,家電１,254083,掃除機関連アクセサリー,861,089,4984824727465,MC-FU1 ふとん清潔ﾉｽﾞﾙ,1
