089,094,240,253,256,259,268,289,480,543,736,737,738,754,808,842,845,846,876,879,item_cd,store_cd,îÑâø,ì˙ït,î≠íçéc,à⁄ëóíÜ,ëçç›å…ó ,îÃîÑâ¬î\ç›å…
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-01,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-02,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-03,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-04,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-05,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-06,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-07,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-08,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-09,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-10,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-11,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-12,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-13,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-14,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-15,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-16,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-17,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-18,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-19,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-20,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-21,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-22,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-23,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-24,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-25,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-26,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-27,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-28,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-29,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-30,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-08-31,,,,
,15.0,,,,,,,,,,,,,,,,,,,4955595097415,861,,2017-09-01,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-01,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-02,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-03,,,,
,10.0,1.0,,,,,,,,,,,,,,,,,,4955595097415,861,,2017-09-04,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-04,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-05,,,,
,40.0,,,,1.0,,,,,,,,,,,,,,,4955595097415,861,,2017-09-05,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-06,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-07,,,,
,,6.0,,,,,,,,,,,,,,1.0,,,,4955595097415,861,,2017-09-07,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-08,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-09,,,,
,5.0,,,,,,,,,,,,,,,,,,,4955595097415,861,,2017-09-09,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-10,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-11,,,,
,25.0,,,,,,,,,,,,,,,,,,,4955595097415,861,,2017-09-11,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-12,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-13,,,,
,20.0,,,,,,,,,,,,,,,,,,,4955595097415,861,,2017-09-13,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-14,,,,
,5.0,,,,,,,,,,,,,,,,,,,4955595097415,861,,2017-09-14,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-15,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-16,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-17,,,,
,,,,,,,,,1.0,,,,,,,,,,,4955595097415,861,,2017-09-18,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-18,,,,
,,,,,,,,,,,,,,,,,,,,4955595097415,861,0.0,2017-09-19,,,,
,,,,,1.0,,,,,,,,,,,,,,,4955595097415,861,,2017-09-19,,,,
