dept_cd_x,部門名,item_cd,商品名,store_cd_x,自発対象開始日,自発対象終了日,store_cd_y,dept_cd_y,欠品マス目,094,240,253,256,259,268,289,293,480,514,543,623,736,737,738,754,757,842,845,846,876,879
367020,ターミナルアダプタ,4527977439276,PCIT21D1LPW,861,2017-07-18,,861,367020,2,,9.0,2.0,,,,,,,,,,1.0,,,,,,1.0,,,
397020,セキュリティ　（ＷＩＮ）,4535946161202,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ,861,2018-06-27,,861,397020,10,10.0,,,,,,,,,1.0,,,,,,,,4.0,,3.0,,2.0
369992,Ｍａｃ純正アクセサリー,4547597693179,Apple 60W MagSafe,861,2017-07-03,,861,369992,4,2.0,,,,,,,,,,,,,,,,,,,,,
369992,Ｍａｃ純正アクセサリー,4547597732359,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W,861,2014-04-13,,861,369992,7,3.0,,,,,,,,,,,,,,,,,1.0,,,,1.0
369992,Ｍａｃ純正アクセサリー,4547597736388,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ,861,2017-07-11,,861,369992,3,7.0,,,,,,,,,,,,,,,3.0,,,,,,2.0
369992,Ｍａｃ純正アクセサリー,4547597746585,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 85W,861,2013-03-11,,861,369992,10,3.0,,,,,,,,,,,,,,,,,1.0,,,,1.0
369992,Ｍａｃ純正アクセサリー,4547597752715,AirMac Express ﾍﾞｰｽｽﾃｰｼｮﾝ,861,2014-03-06,,861,369992,11,3.0,,,,,,,,,,,,,,,,,2.0,,,,
369992,Ｍａｃ純正アクセサリー,4547597812013,MagSafe MagSafe 2ｺﾝﾊﾞｰﾀ,861,2014-04-08,,861,369992,4,14.0,,,,,1.0,,,,,,,,,,,,4.0,,,,1.0
369992,Ｍａｃ純正アクセサリー,4547597814260,Apple MagSafe 2 電源ｱﾀﾞﾌﾟﾀ 85W,861,2017-07-11,,861,369992,2,7.0,,,,,1.0,,,,,,,,,,,,,,,1.0,
369992,Ｍａｃ純正アクセサリー,4547597814277,Apple MagSafe 2 電源ｱﾀﾞﾌﾟﾀ 45W,861,2013-05-07,,861,369992,3,6.0,,,,,,,,,,,,,,,,,5.0,,,,3.0
369992,Ｍａｃ純正アクセサリー,4547597816523,Apple Thunderboltｹｰﾌﾞﾙ 2.0m,861,2014-05-26,,861,369992,3,2.0,,,,,,,,,,,,,,,,,1.0,,,,3.0
369992,Ｍａｃ純正アクセサリー,4547597817070,Apple Mini DisplayPort-DVIｱﾀﾞﾌﾟﾀ,861,2017-09-28,,861,369992,10,,,,,,,,,,,,,,,,,,,,,,2.0
369992,Ｍａｃ純正アクセサリー,4547597817087,Apple Mini DisplayPort-VGAｱﾀﾞﾌﾟﾀ,861,2014-10-14,,861,369992,3,1.0,,,,,2.0,,,,,,,,,,3.0,1.0,2.0,,,1.0,3.0
369992,Ｍａｃ純正アクセサリー,4547597830406,AirMac Time Capsule 2TB,861,2014-03-13,,861,369992,9,5.0,,,,,,,,,,,,,,,,,2.0,,,,
