日付,store_cd,item_cd,販売数,μ,μ+2σ,スパイク日,販売可能在庫,総在庫量,移送中,発注残,dept_cd,部門名,商品名
2018-07-01,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,0,5,0,5,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-02,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,0,5,0,5,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-03,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,5,5,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-04,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,5,5,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-05,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,5,5,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-06,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,4,4,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-07,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,4,4,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-08,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,3,3,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-09,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,3,3,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-10,861,4535946161202,2,0.6451612903225806,2.1304341204156567,0,1,1,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-11,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,0,0,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-12,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,0,1,0,1,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-13,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,0,1,0,1,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-14,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,1,1,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-15,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,1,1,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-16,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,1,2,0,1,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-17,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,1,4,0,3,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-18,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,0,4,0,4,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-19,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,3,4,0,1,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-20,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,3,3,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-21,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,3,3,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-22,861,4535946161202,2,0.6451612903225806,2.1304341204156567,0,1,4,0,3,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-23,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,1,6,0,5,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-24,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,0,5,0,5,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-25,861,4535946161202,2,0.6451612903225806,2.1304341204156567,0,4,4,0,0,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-26,861,4535946161202,2,0.6451612903225806,2.1304341204156567,0,1,4,0,3,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-27,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,1,8,0,7,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-28,861,4535946161202,0,0.6451612903225806,2.1304341204156567,0,2,9,0,7,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-29,861,4535946161202,2,0.6451612903225806,2.1304341204156567,0,0,7,0,7,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-30,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,0,7,0,7,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-31,861,4535946161202,1,0.6451612903225806,2.1304341204156567,0,0,8,0,8,397020,セキュリティ　（ＷＩＮ）,ESET ﾌｧﾐﾘｰ ｾｷｭﾘﾃｨ 3年版15周年記念ﾓﾃﾞﾙ
2018-07-01,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,1,1,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-02,861,4547597732359,1,0.16129032258064516,0.8968873710317019,1,0,0,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-03,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,0,1,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-04,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,0,1,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-05,861,4547597732359,1,0.16129032258064516,0.8968873710317019,1,0,1,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-06,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,1,1,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-07,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,1,1,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-08,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,1,1,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-09,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,1,5,0,4,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-10,861,4547597732359,1,0.16129032258064516,0.8968873710317019,1,0,4,0,4,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-11,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,0,4,0,4,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-12,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,0,4,0,4,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-13,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,4,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-14,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,4,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-15,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,4,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-16,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,4,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-17,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,5,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-18,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,5,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-19,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,5,5,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-20,861,4547597732359,1,0.16129032258064516,0.8968873710317019,1,4,4,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-21,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,4,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-22,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,4,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-23,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,5,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-24,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,5,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-25,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,3,4,0,1,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-26,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,6,0,2,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-27,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,4,6,0,2,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-28,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,6,6,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-29,861,4547597732359,1,0.16129032258064516,0.8968873710317019,1,5,5,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-30,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,5,5,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-31,861,4547597732359,0,0.16129032258064516,0.8968873710317019,0,5,5,0,0,369992,Ｍａｃ純正アクセサリー,Apple MagSafe 電源ｱﾀﾞﾌﾟﾀ 45W
2018-07-01,861,4547597736388,0,0.3870967741935484,2.1230482641385433,0,0,2,0,2,369992,Ｍａｃ純正アクセサリー,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ
2018-07-02,861,4547597736388,2,0.3870967741935484,2.1230482641385433,0,0,2,0,2,369992,Ｍａｃ純正アクセサリー,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ
2018-07-03,861,4547597736388,2,0.3870967741935484,2.1230482641385433,0,2,2,0,0,369992,Ｍａｃ純正アクセサリー,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ
2018-07-04,861,4547597736388,0,0.3870967741935484,2.1230482641385433,0,2,2,0,0,369992,Ｍａｃ純正アクセサリー,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ
2018-07-05,861,4547597736388,0,0.3870967741935484,2.1230482641385433,0,2,2,0,0,369992,Ｍａｃ純正アクセサリー,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ
2018-07-06,861,4547597736388,0,0.3870967741935484,2.1230482641385433,0,2,2,0,0,369992,Ｍａｃ純正アクセサリー,Apple USB Ethernet ｱﾀﾞﾌﾟﾀ
