ì˙ït,store_cd,item_cd,ëçç›å…ó ,îÃîÑâ¬î\ç›å…,à⁄ëóíÜ,î≠íçéc
2018-04-01,861,3045386376735,8,8,0,0
2018-04-02,861,3045386376735,9,8,1,0
2018-04-03,861,3045386376735,9,9,0,0
2018-04-04,861,3045386376735,9,9,0,0
2018-04-05,861,3045386376735,9,9,0,0
2018-04-06,861,3045386376735,9,9,0,0
2018-04-07,861,3045386376735,7,7,0,0
2018-04-08,861,3045386376735,6,6,0,0
2018-04-09,861,3045386376735,6,6,0,0
2018-04-10,861,3045386376735,5,5,0,0
2018-04-11,861,3045386376735,5,5,0,0
2018-04-12,861,3045386376735,5,5,0,0
2018-04-13,861,3045386376735,5,5,0,0
2018-04-14,861,3045386376735,3,3,0,0
2018-04-15,861,3045386376735,4,3,0,1
2018-04-16,861,3045386376735,2,1,0,1
2018-04-17,861,3045386376735,3,1,0,2
2018-04-18,861,3045386376735,3,1,0,2
2018-04-19,861,3045386376735,2,2,0,0
2018-04-20,861,3045386376735,2,1,0,1
2018-04-21,861,3045386376735,2,1,0,1
2018-04-22,861,3045386376735,1,0,0,1
2018-04-23,861,3045386376735,3,0,0,3
2018-04-24,861,3045386376735,3,0,0,3
2018-04-25,861,3045386376735,3,0,0,3
2018-04-26,861,3045386376735,2,0,0,2
2018-04-27,861,3045386376735,2,0,0,2
2018-04-28,861,3045386376735,2,0,0,2
2018-04-29,861,3045386376735,2,0,0,2
2018-04-30,861,3045386376735,2,0,0,2
2018-05-01,861,3045386376735,3,0,0,3
2018-05-02,861,3045386376735,3,0,0,3
2018-05-03,861,3045386376735,3,0,0,3
2018-05-04,861,3045386376735,3,0,0,3
2018-05-05,861,3045386376735,3,0,0,3
2018-05-06,861,3045386376735,3,0,0,3
2018-05-07,861,3045386376735,4,0,0,4
2018-05-08,861,3045386376735,2,0,0,2
2018-05-09,861,3045386376735,5,0,0,5
2018-05-10,861,3045386376735,5,0,0,5
2018-05-11,861,3045386376735,5,0,0,5
2018-05-12,861,3045386376735,5,0,0,5
2018-05-13,861,3045386376735,6,0,0,6
2018-05-14,861,3045386376735,9,0,0,9
2018-05-15,861,3045386376735,12,5,0,7
2018-05-16,861,3045386376735,5,1,0,4
